year,week,per_customer_mean
2022,39,71.33863558413721
2022,40,83.08658438375352
2022,41,82.23161425576518
2022,42,125.53695071868589
2022,43,119.09276028903548
2022,44,92.75512523716925
2022,45,95.33821399558512
2022,46,90.25288801858771
2022,47,84.62394808822243
2022,48,87.54558100069423
2022,49,87.84943474410899
2022,50,97.77953028405855
2022,51,87.27341669485396
2022,52,71.27744481213219
2023,1,75.79514192851894
2023,2,73.19923173348396
2023,3,68.92683309655891
2023,4,67.22390323589462
2023,5,75.39065935365038
2023,6,79.70385344718808
2023,7,89.20663541620551
2023,8,91.6337351037879
2023,9,96.44473302156328
2023,10,100.53358387198854
2023,11,105.18086243096795
2023,12,87.54487441674253
2023,13,64.8680248683383
